"teaser-category","teaser-date","teaser-link","teaser-link href","teaser-body"
"Products","12/11/2024","Porsche rounds off the second Taycan generation","https://newsroom.porsche.com/en/2024/products/porsche-rounds-off-second-taycan-generation-37832.html","Now three new versions complete the 16-version family."
"Company","12/11/2024","Porsche further expands its cybersecurity measures","https://newsroom.porsche.com/en/2024/company/porsche-expands-cybersecurity-measures-37822.html","Following a successful pilot project in 2023, Porsche is launching a four-week Bug Bounty programme this year."
"Motorsports","11/11/2024","Selection process for the 2025 Porsche Junior enters the hot phase","https://newsroom.porsche.com/en/2024/motorsports/porsche-motorsport-junior-selection-process-37816.html","The 2025 Porsche Junior: Nine candidates are competing for the youth development initiative this year."
"Motorsports","09/11/2024","Jílková and García conclude the testing schedule for the new Porsche 99X Electric","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-test-jarama-gabriela-jilkova-marta-garcia-37808.html","Gabriela Jílková and Marta García completed the final laps with the new Porsche 99X Electric."
"Motorsports","07/11/2024","The success story of the Porsche 963","https://newsroom.porsche.com/en/ppdb/2024/11/the-success-story-of-the-porsche-963.html","Porsche Penske Motorsport wins a total of seven titles with the Porsche 963."
"Company","07/11/2024","ORIGINALE magazine celebrates 10th issue","https://newsroom.porsche.com/en/2024/company/porsche-classic-magazine-originale-10-37781.html","For the 10th time, the Porsche magazine ORIGINALE invites readers to dive into the fascinating world of classics."
"Scene and Passion","06/11/2024","The future looks bright: Jordan Wallace is making history","https://newsroom.porsche.com/en/2024/scene-passion/porsche-carrera-cup-north-america-jordan-wallace-christophorus-412-37744.html","The 37-year-old is the first African American driver in the Porsche Carrera Cup North America."
"Motorsports","03/11/2024","Porsche works drivers win the FIA World Endurance Championship","https://newsroom.porsche.com/en/2024/motorsports/porsche-fia-wec-round-eight-race-bahrain-37748.html","Kévin Estre, André Lotterer and Laurens Vanthoor have secured the drivers’ world championship crown at the final round."
"Scene and Passion","01/11/2024","Road trip through seven Emirates: From Dubai to Abu Dhabi","https://newsroom.porsche.com/en/2024/scene-passion/porsche-cayenne-s-coupe-dubai-abu-dhabi-christophorus-412-37728.html","A road trip through the United Arab Emirates reveals the captivating contrasts of this modern desert country."
"Products","31/10/2024","Endurance and performance: the Taycan Turbo GT sets new standards","https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-gt-weissach-paket-shanghai-37707.html","How reliably can peak performance on the track be reproduced in an electric vehicle?"
"Sustainability","30/10/2024","Sylvia Hofer-Jendros on diversity as part of sustainability at Porsche","https://newsroom.porsche.com/en/2024/sustainability/porsche-perspective-sustainability-leave-no-one-behind-37704.html","Sylvia Hofer-Jendros explains the importance of different perspectives and equal opportunities for a livable future."
"Products","29/10/2024","The new Porsche 911 Carrera T as a coupé or a cabriolet","https://newsroom.porsche.com/en/2024/products/porsche-the-new-911-carrera-t-coupe-and-cabriolet-37691.html","The Porsche 911 Carrera T is about concentrating on the essentials."
"Company","29/10/2024","Innovative Macan-inspired space opens in the heart of Milan","https://newsroom.porsche.com/en/2024/company/porsche-italia-the-flat-by-macan-mailand-37686.html","The Flat by Macan is a unique, inflatable leisure space, created by Porsche Italia and Lux Entertainment."
"Company","25/10/2024","Porsche remains on course and confirms forecast for full year 2024","https://newsroom.porsche.com/en/2024/company/porsche-third-quarter-2024-profit-sales-revenue-37672.html","Porsche AG continued on its planned course in the first nine months of 2024."
"Motorsports","24/10/2024","Expressive appearance: the new Porsche 99X Electric","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-gen3-evo-world-premiere-37651.html","Porsche has presented its Formula E car for the next two seasons: the new Porsche 99X Electric."
"Products","23/10/2024","Three records on three continents: Taycan Turbo GT with Weissach package","https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-gt-weissach-package-lap-record-shanghai-37635.html","After setting records at the Nordschleife and in Laguna Seca, the Taycan Turbo GT has now achieved success in Shanghai."
"Motorsports","22/10/2024","Porsche Penske Motorsport switches up its driver squad for the 2025 season","https://newsroom.porsche.com/en/2024/motorsports/porsche-works-driver-2025-imsa-weathertech-sportscar-championship-fia-world-endurance-championship-wec-37621.html","Porsche is tweaking its Porsche Penske Motorsport works team driver lineup for the 2025 season."
"Company","22/10/2024","Porsche presents a limited-edition espresso machine with La Marzocco","https://newsroom.porsche.com/en/2024/company/porsche-la-marzocco-espresso-machine-37613.html","Italian coffee machine manufacturer La Marzocco is producing an espresso machine in collaboration with Porsche."
"Motorsports","20/10/2024","Fourth title for Larry ten Voorde, first win for Ariel Levi","https://newsroom.porsche.com/en/ppdb/2024/10/fourth-title-for-larry-ten-voorde-first-win-for-ariel-levi.html","The championship titles of the Porsche Sixt Carrera Cup Deutschland have been decided in a turbulent season finale."
"Products","18/10/2024","Double Premiere: The new 911 GT3 and 911 GT3 with Touring package","https://newsroom.porsche.com/en/2024/products/porsche-the-new-911-gt3-double-premiere-37595.html","The 911 GT3 has offered the ultimate combination of racing genes and day-to-day usability since its introduction in 1999."
"Motorsports","18/10/2024","Gabriela Jílková and Marta García to test the Porsche 99X Electric","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-test-valencia-gabriela-jilkova-marta-garcia-37588.html","Porsche has nominated Gabriela Jílková and Marta García to test drive the Porsche 99X Electric."
"History","16/10/2024","Porsche celebrates the 911 GT3: 25 years of performance and passion","https://newsroom.porsche.com/en/2024/history/porsche-911-gt3-25-years-performance-37556.html","The presentation of the first Porsche 911 GT3 at the 1999 Geneva Motor Show marked the beginning of a new era."
"Products","14/10/2024","718 Spyder RS Panamericana Special: A tribute to a historic victory","https://newsroom.porsche.com/en/2024/products/porsche-latin-america-718-spyder-rs-panamericana-special-550-spyder-37511.html","Porsche honors its automotive heritage with an extraordinary creation: the 718 Spyder RS Panamericana Special."
